Year,S.No,STATE,DISTRICT,RR_C,RR_C_NC,RR_PQ,RR_Tot,TGA_C,TGA_C_NC,TGA_PQ,TGA_Tot,TGA,TGA_Tot.1,GWR_RR_C,GWR_RR_C_NC,GWR_RR_PQ,GWR_RR_Tot,GWR_CI_C,GWR_CI_C_NC,GWR_CI_PQ,GWR_CI_Tot,GWR_SWI_IRR_C,GWR_SWI_IRR_C_NC,GWR_SWI_IRR_PQ,GWR_SWI_IRR_Tot,GWR_GWI_IRR_C,GWR_GWI_IRR_C_NC,GWR_GWI_IRR_PQ,GWR_GWI_IRR_Tot,GWR_TP_C,GWR_TP_C_NC,GWR_TP_PQ,GWR_TP_Tot,GWR_WCS_C,GWR_WCS_C_NC,GWR_WCS_PQ,GWR_WCS_Tot,GWR_PL_C,GWR_PL_C_NC,GWR_PL_PQ,GWR_PL_Tot,GWR_SF_C,GWR_SF_C_NC,GWR_SF_PQ,GWR_SF_Tot,GWR_C,GWR_C_NC,GWR_PQ,GWR_Tot,IFO_BF_C,IFO_BF_C_NC,IFO_BF_PQ,IFO_BF_Tot,IFO_SR_C,IFO_SR_C_NC,IFO_SR_PQ,IFO_SR_Tot,IFO_LF_C,IFO_LF_C_NC,IFO_LF_PQ,IFO_LF_Tot,IFO_VF_C,IFO_VF_C_NC,IFO_VF_PQ,IFO_VF_Tot,IFO_EV_C,IFO_EV_C_NC,IFO_EV_PQ,IFO_EV_Tot,IFO_TR_C,IFO_TR_C_NC,IFO_TR_PQ,IFO_TR_Tot,IFO_ET_C,IFO_ET_C_NC,IFO_ET_PQ,IFO_ET_Tot,IFO_C,IFO_C_NC,IFO_PQ,IFO_Tot,AGR_C,AGR_C_NC,AGR_PQ,AGR_Tot,EFR_C,EFR_C_NC,EFR_PQ,EFR_Tot,AER_C,AER_C_NC,AER_PQ,AER_Tot,GWE_DOM_C,GWE_DOM_C_NC,GWE_DOM_PQ,GWE_DOM_Tot,GWE_IND_C,GWE_IND_C_NC,GWE_IND_PQ,GWE_IND_Tot,GWE_IRR_C,GWE_IRR_C_NC,GWE_IRR_PQ,GWE_IRR_Tot,GWE_C,GWE_C_NC,GWE_PQ,GWE_Tot,GWE_C.1,GWE_C_NC.1,GWE_PQ.1,GWE_Tot.1,DOM_DOM_C,DOM_DOM_C_NC,DOM_DOM_PQ,DOM_DOM_Tot,NAG_C,NAG_C_NC,NAG_PQ,NAG_Tot,QT_MP_C,QT_MP_C_NC,QT_MP_PQ,QT_OP_C,QT_OP_C_NC,QT_OP_PQ,APR_WL,APR_FP,APR_SD,CSA_C,CSA_C_NC,CSA_PQ,CSA_Tot,UCA_FR,UCA_SL,UCA_FR.1,UCA_SL.1,CFA_FR,CFA_SL,CFA_FR.1,CFA_SL.1,CFA_FR.2,CFA_SL.2,CFA_FR.3,CFA_SL.3,CFA_FR.4,CFA_SL.4,CFA_FR.5,CFA_SL.5,TGAH_FR,TGAH_SL
2024-25,1,ANDAMAN AND NICOBAR ISLANDS,N & M ANDAMAN,NA,3015.7,NA,3015.7,NA,58040.0,NA,58040.0,286106.0,344146.0,NA,16376.36,NA,16376.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151.9,NA,151.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16528.260000000002,NA,16528.260000000002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16528.260000000002,NA,16528.260000000002,NA,1652.84,NA,1652.84,NA,14875.42,NA,14875.42,NA,262.06306500000005,NA,262.06306500000005,NA,83.244524676865,NA,83.244524676865,NA,0.804,NA,0.804,NA,346.11,NA,346.11,NA,2.326724220223698,NA,2.326724220223698,NA,269.19,NA,269.19,NA,14522.18,NA,14522.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14875.419999999998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14875.419999999998,NA
2024-25,2,ANDAMAN AND NICOBAR ISLANDS,NICOBAR,NA,2805.2,2805.1999999999994,2805.2,NA,37247.0,828.0,38075.0,156091.0,194166.0,NA,10996.24,348.4,11344.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.14,NA,16.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11012.380000000001,348.4,11360.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11012.380000000001,348.4,11360.78,NA,1101.25,34.84,1136.0900000000001,NA,9911.130000000001,313.56,10224.69,NA,88.2878425,3.1517749999999998,91.4396175,NA,0.945722794520548,NA,0.945722794520548,NA,0.253,NA,0.253,NA,89.45,3.15,92.6,NA,0.9025207014739994,1.0045924225028702,0.9025207014739992,NA,90.68,3.24,90.68,NA,9819.279999999999,310.32,9819.279999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9911.130000000001,313.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9911.130000000001,313.56
2024-25,3,ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMAN,NA,3015.7,NA,3015.7,NA,31524.0,NA,31524.0,215321.0,246845.0,NA,10777.26,NA,10777.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.46,NA,20.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10797.72,NA,10797.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10797.72,NA,10797.72,NA,1079.7600000000002,NA,1079.7600000000002,NA,9717.960000000001,NA,9717.960000000001,NA,322.8561875,NA,322.8561875,NA,13.610097499999998,NA,13.610097499999998,NA,10.647,NA,10.647,NA,347.12,NA,347.12,NA,3.5719430827046006,NA,3.5719430827046006,NA,331.62,NA,331.62,NA,9362.07,NA,9362.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9717.960000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9717.960000000001,NA
2024-25,4,ARUNACHAL PRADESH,ANJAW,NA,NA,NA,NA,NA,NA,NA,NA,619000.0,619000.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-25,5,ARUNACHAL PRADESH,CHANGLANG,NA,2222.9,NA,2222.8999999999996,NA,53000.0,NA,53000.0,413199.99999999994,466199.99999999994,NA,19742.160000000003,NA,19742.160000000003,NA,NA,NA,NA,NA,10336.2,NA,10336.2,NA,29.159999999999997,NA,29.159999999999997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30107.52,NA,30107.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30107.52,NA,30107.52,NA,3010.7700000000004,NA,3010.7700000000004,NA,27096.75,NA,27096.75,NA,182.82127847499999,NA,182.82127847499999,NA,NA,NA,NA,NA,64.80000000000001,NA,64.80000000000001,NA,247.62000000000003,NA,247.62000000000003,NA,0.9138365302111878,NA,0.9138365302111878,NA,225.58999999999997,NA,225.58999999999997,NA,26806.36,NA,26806.36,NA,NA,NA,NA,NA,NA,1933.4399688,1347.1488,NA,NA,NA,NA,NA,NA,NA,27096.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27096.75,NA
2024-25,6,ARUNACHAL PRADESH,DIBANG VALLEY,NA,NA,NA,NA,NA,NA,NA,NA,912900.0,912900.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-25,7,ARUNACHAL PRADESH,EAST KAMENG,NA,2026.2999999999997,NA,2026.2999999999997,NA,31249.999999999996,NA,31249.999999999996,382150.0,413400.0,NA,11144.66,NA,11144.66,NA,NA,NA,NA,NA,6383.153024,NA,6383.14,NA,32.47,NA,32.47,NA,NA,NA,NA,NA,5.680000000000001,NA,5.680000000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,17565.95,NA,17565.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17565.95,NA,17565.95,NA,1756.5900000000001,NA,1756.5900000000001,NA,15809.359999999999,NA,15809.359999999999,NA,14.722563350000001,NA,14.722563350000001,NA,NA,NA,NA,NA,94.10000000000001,NA,94.10000000000001,NA,108.82,NA,108.82,NA,0.6883264091652034,NA,0.6883264091652034,NA,23.5,NA,23.5,NA,15691.77,NA,15691.77,NA,NA,NA,NA,NA,NA,NA,621.0,NA,NA,NA,NA,NA,NA,NA,15809.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15809.36,NA
2024-25,8,ARUNACHAL PRADESH,EAST SIANG,NA,4398.6,NA,4398.6,NA,110100.0,NA,110100.0,250200.0,360300.0,NA,70296.68,NA,70296.68,NA,NA,NA,NA,NA,9924.605499999998,NA,9924.599999999999,NA,40.16,NA,40.16,NA,NA,NA,NA,NA,5.0,NA,5.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,80266.44,NA,80266.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08,NA,0.08,NA,254.72,NA,254.72,NA,NA,NA,NA,NA,-254.79999999999998,NA,-254.79999999999998,NA,80011.64,NA,80011.64,NA,8026.64,NA,8026.64,NA,71985.0,NA,71985.0,NA,64.39847205,NA,64.39847205,NA,4.199999999999999,NA,4.199999999999999,NA,110.42,NA,110.42,NA,179.01999999999998,NA,179.01999999999998,NA,0.24869069945127453,NA,0.24869069945127453,NA,75.08,NA,75.08,NA,71795.3,NA,71795.3,NA,NA,NA,NA,NA,NA,3733.8136030719998,748.7424,NA,NA,NA,NA,NA,NA,NA,71985.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71985.0,NA
2024-25,9,ARUNACHAL PRADESH,KURUNG KUMEY,NA,NA,NA,NA,NA,NA,NA,NA,604000.0,604000.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-25,10,ARUNACHAL PRADESH,LOHIT,NA,2998.2,NA,2998.2,NA,200000.0,NA,200000.0,321199.99999999994,521200.0,NA,105536.64,NA,105536.64,NA,NA,NA,NA,NA,17398.2,NA,17398.2,NA,15.32,NA,15.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,122950.16,NA,122950.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1278.16,NA,1278.16,NA,NA,NA,NA,NA,-1278.16,NA,-1278.16,NA,121672.0,NA,121672.0,NA,12295.029999999999,NA,12295.029999999999,NA,109376.97,NA,109376.97,NA,230.9697005,NA,230.9697005,NA,8.4,NA,8.4,NA,34.36,NA,34.36,NA,273.72,NA,273.72,NA,0.2502537782862334,NA,0.2502537782862334,NA,279.47,NA,279.47,NA,109054.75,NA,109054.75,NA,NA,NA,NA,NA,NA,9791.131590444,NA,NA,NA,NA,NA,NA,NA,NA,109376.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109376.97,NA
